Id;Name;Warmup;RunABC;MainEx;Ending;Material;DurationMin;DurationMax;Repeat;Disciplines[];Details[]
LaufABC_14;Lauf ABC;false;true;false;false;Hütchen;10;10; - ;Hochsprung:HochsprungOhneAnlage:Schnelligkeit:Schnelllaufen;Hopserlauf:Anversen:Knieheber mit hohen Armen:Skippings:Steps:Seitgalopp mit Schwungarmen:Steigerung
LaufABC_15;Lauf ABC;false;true;false;false;Hütchen;10;10; - ;Schnelligkeit:Schnelllaufen:Wurf;Schlagläufe:Anversen:Skippings mit hohen Armen:Knieheber mit hohen Armen:Steps:B Steps:Schubkarre:Steigerung
LaufABC_16;Lauf ABC;false;true;false;false;Hütchen;10;10; - ;Ausdauer:Überlaufen;Hopserlauf:Anversen:Knieheber mit hohen Armen:Skippings mit hohen Armen:Steps:Seitkreuzschritte:Steigerung
LaufABC_17;Lauf ABC;false;true;false;false;Hütchen;10;10; - ;Ausdauer:Überlaufen;Hopserlauf:Anversen:Knieheber mit hohen Armen:Skippings mit hohen Armen:Steps:Seitkreuzschritte:Schubkarre:Steigerung
LaufABC_18;Lauf ABC;false;true;false;false;Hütchen;10;10; - ;Schnelligkeit:Schnelllaufen:Staffellauf:Wurf;Schlagläufe:Anversen:Knieheber:Skippings:Steps:B Steps:Schubkarre:Steigerung
LaufABC_19;Lauf ABC;false;true;false;false;Hütchen;10;10; - ;Schnelligkeit:Schnelllaufen:Überlaufen;Hopserlauf:Anversen:Knieheberlauf:Skippings:Steps:Seitkreuzschritte:Schubkarre:Steigerung
LaufenZuMusik;Verschiedene Laufstile zur Musik;true;false;false;false;Musik;10;10;;Ausdauer:Koordination;Vorwärts:Rückwärts:Seitlich:Krabbeln:Hüpfen
LäuferGegenWerfer;Läufer gegen Werfer im Kreis;false;false;true;false;Ball, Hütchen;10;15;;Ausdauer;
MattenbergHochkommen;Mattenberg und im Sitzen hochkommen;false;false;true;false;Matte;10;10;;Hochsprung:HochsprungOhneAnlage;
MattenbergRückenAufkommen;Mattenberg und mit dem Rücken aufkommen;false;false;true;false;Matte;10;10;;Hochsprung:HochsprungOhneAnlage;
MedibälleHinHerWerfen;Medibälle hin und her werfen;false;false;true;false;Medibälle;10;10;;Ausdauer:Überlaufen;
MitSeilFangen;Mit Seil fangen spielen;false;false;true;false;Hütchen, Seil;10;10;;HochsprungOhneAnlage:Wurf;
Nummernwettläufe;Nummernwettläufe;false;false;true;false;Bananenkisten, Hütchen;10;15;;Ausdauer:Koordination;Immer eine Nummer wird aufgerufen und darf laufen
Pendelstaffel;Pendelstaffel;false;false;true;false;Bloxx, Hütchen;10;10;;Ausdauer:Hochsprung:HochsprungOhneAnlage:Schnelligkeit:Schnelllaufen:Wurf;
PendelstaffelMitBloxxHürden;Pendelstaffel mit Bloxx + Hürden;false;false;true;false;Bloxx, Hürden;10;10;;Ausdauer:Koordination;
PendelstaffelMitHürden;Pendelstaffel mit Hürden;false;false;true;false;Hürden, Hütchen;10;10;;Ausdauer:Staffellauf:Überlaufen:Wurf;
Reaktionsstart_01;Reaktionsstart aus verschiedenen Lagen mit Worten;false;false;true;false;Hütchen;10;10;;Schnelligkeit:Schnelllaufen;
Reaktionsstart_02;Reaktionsstart mit Bällen, die von hinten kommen;false;false;true;false;Bälle, Hütchen;10;10;;Schnelligkeit:Schnelllaufen;Die, die warten, machen 10 Kniebeugen
Reaktionsstart_03;Reaktionsstarts mit Händen schlagen;false;false;true;false;;15;15;;Schnelligkeit:Schnelllaufen;
Reaktionsstart_04;Reaktionsstart aus verschiedenen Lagen mit Worten, mit hohen Armen sprinten;false;false;true;false;Hütchen;10;10;;Schnelligkeit:Schnelllaufen;
ReihenfolgeErarbeiten;Reihenfolge im Reifen erarbeiten;false;false;true;false;Reifen;10;15;;WeitsprungOhneGrube:WeitsprungMitGrube;
ReiseNachJerusalemMitRingen;Reise nach Jerusalem mit Ringen;false;false;true;true;;15;15;;Schnelligkeit:Schnelllaufen;
Rundenstaffel;Rundenstaffel;false;false;false;true;Staffelhölzer;15;15;1 mal;Staffellauf;
SauDurchsDorfLang;Sau durchs Dorf;false;false;true;false;Hütchen, Bälle, Medibälle;10;15;;Wurf;Mediball in Richtung anderer Gruppen werfen
Schattenlaufen;Schattenlaufen;false;false;true;false;;10;10;;Ausdauer:Koordination;
SchereSteinPapier;Schere-Stein-Papier;false;false;false;true;;10;15;je nach Rundengröße;Ausdauer;Der Gewinner rennt eine kleine Bahn, der Verlierer eine große Bahn
SchereSteinPapierRennen;Schere, Stein, Papier und Rennen;false;false;true;false;Hütchen, Spielkarten;10;10;;Schnelligkeit:Schnelllaufen;Verlierer macht 3 Situps
SchersprungAufMatte;Im Schersprung auf die Matte;false;false;true;true;;10;10;;Hochsprung:HochsprungOhneAnlage;
SechsTageRennen;6 Tage Rennen;false;false;false;true;Hütchen;10;15;1 mal;Ausdauer;
SeilDannRennen;Seil und dann losrennen;false;false;true;false;Hütchen, Spielkarten (?);10;10;;Ausdauer:Koordination;Verlierer macht 3 Situps
